age,job,balance,loan,day,month,pdays,previous,ifCreatedAccount,ifCreditExists
56,7,-34,1,5,5,-1,0,0,0
36,1,448,0,5,5,-1,0,0,0
59,6,81,0,5,5,-1,0,0,0
44,1,144,0,5,5,-1,0,0,0
41,4,351,0,5,5,-1,0,0,0
33,2,-67,0,5,5,-1,0,0,0
59,2,262,0,5,5,-1,0,0,0
57,3,0,0,5,5,-1,0,0,0
56,3,56,0,5,5,-1,0,0,0
51,1,26,0,5,5,-1,0,0,0
34,4,3,0,5,5,-1,0,0,0
43,5,41,1,5,5,-1,0,0,0
52,3,7,1,5,5,-1,0,0,0
33,3,105,0,5,5,-1,0,0,0
29,4,818,1,5,5,-1,0,0,0
34,5,-16,1,5,5,-1,0,0,0
31,1,0,0,5,5,-1,0,0,0
55,5,2476,0,5,5,-1,0,1,0
55,2,1185,0,5,5,-1,0,0,0
32,4,217,0,5,5,-1,0,0,0
38,3,1685,0,5,5,-1,0,0,0
55,4,802,1,5,5,-1,0,0,0
28,9,0,0,5,5,-1,0,0,0
23,1,94,0,5,5,-1,0,0,0
32,3,0,0,5,5,-1,0,0,0
43,5,0,0,5,5,-1,0,0,0
32,1,517,0,5,5,-1,0,0,0
46,1,265,0,5,5,-1,0,0,0
53,10,947,0,5,5,-1,0,0,0
34,7,3,0,5,5,-1,0,0,0
57,9,42,0,5,5,-1,0,0,0
37,1,37,0,5,5,-1,0,0,0
59,1,57,0,5,5,-1,0,0,0
33,5,22,0,5,5,-1,0,0,0
56,1,8,0,5,5,-1,0,0,0
48,9,293,0,5,5,-1,0,0,0
43,5,3,0,5,5,-1,0,0,0
54,1,348,0,5,5,-1,0,0,0
51,1,-19,0,5,5,-1,0,0,0
26,11,0,0,5,5,-1,0,0,0
40,2,-4,0,5,5,-1,0,0,0
39,2,18,0,5,5,-1,0,0,0
50,3,139,0,5,5,-1,0,0,0
41,5,0,0,5,5,-1,0,0,0
51,1,1883,0,5,5,-1,0,0,0
60,6,216,0,5,5,-1,0,0,0
52,1,782,0,5,5,-1,0,0,0
48,1,904,0,5,5,-1,0,0,0
48,5,1705,0,5,5,-1,0,0,0
39,3,47,0,5,5,-1,0,0,0
47,5,176,0,5,5,-1,0,0,0
40,1,1225,0,5,5,-1,0,0,0
45,3,86,0,5,5,-1,0,0,0
26,4,82,0,5,5,-1,0,0,0
52,2,271,0,5,5,-1,0,0,0
54,3,1378,0,5,5,-1,0,0,0
54,4,184,0,5,5,-1,0,1,0
50,1,0,0,5,5,-1,0,0,0
35,1,0,0,5,5,-1,0,0,0
44,5,1357,1,5,5,-1,0,0,0
53,8,19,0,5,5,-1,0,0,0
35,6,434,0,5,5,-1,0,0,0
60,4,92,0,5,5,-1,0,0,0
53,4,1151,0,5,5,-1,0,0,0
48,9,41,0,5,5,-1,0,0,0
34,3,51,0,5,5,-1,0,0,0
54,5,214,0,5,5,-1,0,0,0
51,2,1161,0,5,5,-1,0,0,0
31,5,37,0,5,5,-1,0,0,0
35,3,787,0,5,5,-1,0,0,0
35,5,59,0,5,5,-1,0,0,0
38,3,253,0,5,5,-1,0,0,0
36,4,211,0,5,5,-1,0,0,0
58,6,235,0,5,5,-1,0,0,0
40,5,4384,0,5,5,-1,0,0,0
54,2,4080,0,5,5,-1,0,0,0
34,1,53,1,5,5,-1,0,0,0
31,2,0,0,5,5,-1,0,0,0
51,6,2127,0,5,5,-1,0,0,0
33,2,377,0,5,5,-1,0,0,0
55,2,73,0,5,5,-1,0,0,0
42,4,445,0,5,5,-1,0,0,0
34,1,243,0,5,5,-1,0,0,0
33,1,307,0,5,5,-1,0,0,0
38,5,155,0,5,5,-1,0,0,0
50,3,173,1,5,5,-1,0,0,0
43,2,400,0,5,5,-1,0,0,0
61,1,1428,0,5,5,-1,0,0,0
47,4,219,0,5,5,-1,0,0,0
48,7,7,0,5,5,-1,0,0,0
44,1,575,0,5,5,-1,0,0,0
35,11,298,0,5,5,-1,0,0,0
35,5,0,0,5,5,-1,0,0,0
50,5,5699,0,5,5,-1,0,0,0
41,2,176,1,5,5,-1,0,0,0
41,2,517,0,5,5,-1,0,0,0
39,5,257,0,5,5,-1,0,0,0
42,6,56,0,5,5,-1,0,0,0
38,1,-390,0,5,5,-1,0,0,0
53,6,330,0,5,5,-1,0,0,0
59,10,195,0,5,5,-1,0,0,0
36,5,301,0,5,5,-1,0,0,0
54,1,-41,0,5,5,-1,0,0,0
40,3,483,0,5,5,-1,0,0,0
47,12,28,0,5,5,-1,0,0,0
53,9,13,0,5,5,-1,0,0,0
46,10,965,0,5,5,-1,0,0,0
39,2,378,1,5,5,-1,0,0,0
40,9,219,0,5,5,-1,0,0,0
28,1,324,0,5,5,-1,0,0,0
35,8,-69,0,5,5,-1,0,0,0
55,6,0,1,5,5,-1,0,0,0
43,3,205,0,5,5,-1,0,0,0
48,1,278,0,5,5,-1,0,0,0
58,2,1065,0,5,5,-1,0,0,0
33,2,34,0,5,5,-1,0,0,0
36,1,1033,0,5,5,-1,0,0,0
53,5,1467,0,5,5,-1,0,0,0
47,1,-12,0,5,5,-1,0,0,0
31,5,388,0,5,5,-1,0,0,0
57,8,294,0,5,5,-1,0,0,0
53,1,1827,0,5,5,-1,0,0,0
55,1,627,0,5,5,-1,0,0,0
45,1,25,0,5,5,-1,0,0,0
53,4,315,0,5,5,-1,0,0,0
37,1,0,0,5,5,-1,0,0,0
44,4,66,0,5,5,-1,0,0,0
49,1,-9,1,5,5,-1,0,0,0
46,3,349,1,5,5,-1,0,0,0
43,8,100,0,5,5,-1,0,0,0
38,4,0,0,5,5,-1,0,0,0
43,3,434,0,5,5,-1,0,0,0
49,2,3237,0,5,5,-1,0,0,0
42,2,275,0,5,5,-1,0,0,0
22,1,0,0,5,5,-1,0,0,0
40,2,207,0,5,5,-1,0,0,0
39,1,483,0,5,5,-1,0,0,0
51,5,2248,0,5,5,-1,0,0,0
49,4,428,0,5,5,-1,0,0,0
53,1,0,1,5,5,-1,0,0,0
34,5,0,0,5,5,-1,0,0,0
33,3,140,0,5,5,-1,0,0,0
50,2,297,0,5,5,-1,0,0,0
39,1,279,0,5,5,-1,0,0,0
59,8,901,0,5,5,-1,0,0,0
30,3,2573,0,5,5,-1,0,0,0
36,5,143,1,5,5,-1,0,0,0
40,1,475,0,5,5,-1,0,0,0
53,1,70,0,5,5,-1,0,0,0
34,2,318,0,5,5,-1,0,0,0
37,3,275,0,5,5,-1,0,0,0
42,2,742,0,5,5,-1,0,0,0
41,8,236,0,5,5,-1,0,0,0
30,11,25,0,5,5,-1,0,0,0
37,2,600,0,5,5,-1,0,0,0
39,4,-349,0,5,5,-1,0,0,0
41,1,183,1,5,5,-1,0,0,0
40,1,0,0,5,5,-1,0,0,0
42,2,0,1,5,5,-1,0,1,0
40,1,0,0,5,5,-1,0,0,0
57,3,1078,0,5,5,-1,0,0,0
56,8,155,0,5,5,-1,0,0,0
37,4,190,0,5,5,-1,0,0,0
59,6,319,0,5,5,-1,0,0,0
39,5,-185,0,5,5,-1,0,0,0
49,5,47,0,5,5,-1,0,0,0
38,5,570,0,5,5,-1,0,0,0
36,7,19,0,5,5,-1,0,0,0
50,1,61,0,5,5,-1,0,0,0
41,4,-62,1,5,5,-1,0,0,0
54,3,258,0,5,5,-1,0,0,0
58,1,76,0,5,5,-1,0,0,0
30,1,0,0,5,5,-1,0,0,0
33,4,352,0,5,5,-1,0,0,0
47,4,368,0,5,5,-1,0,0,0
50,3,339,0,5,5,-1,0,0,0
32,1,1331,0,5,5,-1,0,0,0
40,7,672,0,5,5,-1,0,0,0
37,2,58,0,5,5,-1,0,0,0
54,3,447,0,5,5,-1,0,0,0
24,11,423,0,5,5,-1,0,0,0
54,2,0,0,5,5,-1,0,0,0
34,3,19,0,5,5,-1,0,0,0
56,3,13,0,5,5,-1,0,0,0
31,1,3,0,5,5,-1,0,0,0
24,11,82,0,5,5,-1,0,0,0
42,1,28,0,5,5,-1,0,0,0
57,3,792,0,5,5,-1,0,0,0
42,1,408,0,5,5,-1,0,0,0
51,4,531,0,5,5,-1,0,0,0
57,6,211,0,5,5,-1,0,0,0
36,5,62,0,5,5,-1,0,0,0
53,5,257,0,5,5,-1,0,0,0
50,3,1234,0,5,5,-1,0,0,0
54,2,313,0,5,5,-1,0,0,0
55,1,89,0,5,5,-1,0,0,0
44,1,129,1,5,5,-1,0,0,0
43,2,0,0,5,5,-1,0,0,0
56,4,353,0,5,5,-1,0,0,0
54,3,851,0,5,5,-1,0,0,0
55,5,96,1,5,5,-1,0,0,0
37,5,398,1,5,5,-1,0,0,0
33,4,193,0,5,5,-1,0,0,0
46,4,-358,0,5,5,-1,0,0,0
36,1,539,1,5,5,-1,0,0,0
51,3,0,0,5,5,-1,0,0,0
40,6,0,0,5,5,-1,0,0,0
42,1,490,0,5,5,-1,0,0,0
51,1,0,0,5,5,-1,0,0,0
49,1,403,0,5,5,-1,0,0,0
48,2,161,0,5,5,-1,0,0,0
32,3,2558,0,5,5,-1,0,0,0
31,4,98,0,5,5,-1,0,0,0
55,2,115,0,5,5,-1,0,0,0
40,1,436,0,5,5,-1,0,0,0
47,3,831,0,5,5,-1,0,0,0
57,3,206,0,5,5,-1,0,0,0
41,1,290,0,5,5,-1,0,0,0
48,1,1,0,5,5,-1,0,0,0
42,1,57,0,5,5,-1,0,0,0
30,1,-457,0,5,5,-1,0,0,0
58,2,1387,0,5,5,-1,0,0,0
45,2,24598,0,5,5,-1,0,0,0
49,1,30,0,5,5,-1,0,0,0
42,4,1022,0,5,5,-1,0,0,0
53,3,56,1,5,5,-1,0,0,0
51,4,-2,0,5,5,-1,0,0,1
32,5,121,0,5,5,-1,0,0,0
41,1,842,0,5,5,-1,0,0,0
43,2,693,0,5,5,-1,0,0,0
40,1,-333,0,5,5,-1,0,0,0
50,1,1533,0,5,5,-1,0,0,0
34,2,46,0,5,5,-1,0,0,0
53,5,18,0,5,5,-1,0,0,0
45,3,44,0,5,5,-1,0,0,0
39,1,-100,0,5,5,-1,0,0,0
44,5,510,0,5,5,-1,0,0,0
55,2,685,0,5,5,-1,0,0,0
46,2,187,0,5,5,-1,0,0,0
45,1,66,0,5,5,-1,0,0,0
34,4,560,0,5,5,-1,0,0,0
36,1,0,0,5,5,-1,0,0,0
59,12,27,0,5,5,-1,0,0,0
31,4,12,0,5,5,-1,0,0,0
44,1,34,0,5,5,-1,0,0,0
33,8,1068,0,5,5,-1,0,0,0
40,1,211,0,5,5,-1,0,0,0
46,4,377,0,5,5,-1,0,0,0
48,2,263,0,5,5,-1,0,0,0
42,5,1263,0,6,5,-1,0,0,0
27,5,8,0,6,5,-1,0,0,0
48,4,126,1,6,5,-1,0,0,0
59,4,230,0,6,5,-1,0,0,0
46,3,841,0,6,5,-1,0,0,0
38,4,308,0,6,5,-1,0,0,0
43,2,1,0,6,5,-1,0,0,0
38,4,86,0,6,5,-1,0,0,0
23,11,157,0,6,5,-1,0,0,0
34,5,22,0,6,5,-1,0,0,0
38,4,46,1,6,5,-1,0,0,0
37,1,1293,0,6,5,-1,0,0,0
25,4,122,0,6,5,-1,0,0,0
48,1,131,0,6,5,-1,0,0,0
49,1,143,0,6,5,-1,0,0,0
38,4,393,0,6,5,-1,0,0,0
43,1,98,0,6,5,-1,0,0,0
33,2,0,0,6,5,-1,0,0,0
55,1,224,0,6,5,-1,0,0,0
38,1,757,0,6,5,-1,0,0,0
49,5,245,1,6,5,-1,0,0,0
40,2,8486,0,6,5,-1,0,0,0
43,4,350,0,6,5,-1,0,0,0
38,1,20,0,6,5,-1,0,0,0
58,5,1667,1,6,5,-1,0,0,0
57,3,345,0,6,5,-1,0,0,0
32,9,10,0,6,5,-1,0,0,0
56,2,830,1,6,5,-1,0,1,0
58,1,29,0,6,5,-1,0,0,0
60,6,545,0,6,5,-1,0,1,0
37,3,8730,0,6,5,-1,0,0,0
46,3,477,0,6,5,-1,0,0,0
27,4,4,0,6,5,-1,0,0,0
43,1,1205,0,6,5,-1,0,0,0
32,3,0,1,6,5,-1,0,0,0
40,4,263,0,6,5,-1,0,0,0
38,4,1,0,6,5,-1,0,0,0
34,1,283,1,6,5,-1,0,0,0
47,1,206,0,6,5,-1,0,0,0
42,10,17,0,6,5,-1,0,0,0
48,3,141,1,6,5,-1,0,0,0
29,7,16,0,6,5,-1,0,0,0
50,5,206,0,6,5,-1,0,0,0
52,3,7,0,6,5,-1,0,0,0
50,2,0,0,6,5,-1,0,0,0
58,6,0,0,6,5,-1,0,0,0
46,1,1927,0,6,5,-1,0,0,0
38,3,284,0,6,5,-1,0,0,0
46,1,1660,0,6,5,-1,0,0,0
32,5,406,0,6,5,-1,0,0,0
51,1,230,0,6,5,-1,0,0,0
39,4,-25,0,6,5,-1,0,0,0
48,4,182,0,6,5,-1,0,0,0
36,8,1169,0,6,5,-1,0,0,0
34,4,67,0,6,5,-1,0,0,0
40,3,77,0,6,5,-1,0,0,0
43,9,0,0,6,5,-1,0,0,0
52,1,55,1,6,5,-1,0,0,0
33,3,72,0,6,5,-1,0,0,1
49,2,163,0,6,5,-1,0,0,0
32,2,151,0,6,5,-1,0,0,0
39,4,113,0,6,5,-1,0,0,0
40,1,0,0,6,5,-1,0,0,0
38,3,9,0,6,5,-1,0,0,0
43,2,375,0,6,5,-1,0,0,0
39,5,1142,0,6,5,-1,0,0,0
54,1,2102,0,6,5,-1,0,0,0
38,3,4325,0,6,5,-1,0,0,0
40,1,217,0,6,5,-1,0,0,0
55,4,131,0,6,5,-1,0,0,0
42,2,1680,0,6,5,-1,0,0,0
39,1,0,0,6,5,-1,0,0,0
40,1,46,0,6,5,-1,0,0,0
32,1,320,0,6,5,-1,0,0,0
55,4,183,0,6,5,-1,0,0,0
45,1,39,0,6,5,-1,0,0,0
35,2,560,0,6,5,-1,0,0,0
58,3,469,0,6,5,-1,0,0,0
35,4,530,0,6,5,-1,0,0,0
49,5,61,0,6,5,-1,0,0,0
34,3,242,0,6,5,-1,0,0,0
36,1,139,0,6,5,-1,0,0,0
24,7,0,0,6,5,-1,0,0,0
34,3,367,0,6,5,-1,0,0,0
51,4,228,0,6,5,-1,0,0,0
39,3,45248,0,6,5,-1,0,1,0
50,7,-84,0,6,5,-1,0,0,0
32,5,310,0,6,5,-1,0,0,0
42,1,132,0,6,5,-1,0,0,0
50,3,797,0,6,5,-1,0,0,0
40,5,71,0,6,5,-1,0,0,0
46,2,2,0,6,5,-1,0,0,0
37,2,231,1,6,5,-1,0,0,0
34,1,270,1,6,5,-1,0,0,0
44,1,274,1,6,5,-1,0,0,0
40,4,-109,1,6,5,-1,0,0,0
37,3,1,0,6,5,-1,0,1,0
33,1,-60,0,6,5,-1,0,0,1
35,1,89,0,6,5,-1,0,0,0
58,1,-11,0,6,5,-1,0,0,0
39,1,0,0,6,5,-1,0,0,0
43,1,-509,0,6,5,-1,0,0,0
39,9,408,0,6,5,-1,0,0,0
36,5,58,0,6,5,-1,0,0,0
57,6,1640,1,6,5,-1,0,0,0
36,4,20,0,6,5,-1,0,0,0
50,1,71,0,6,5,-1,0,0,0
55,1,52,0,6,5,-1,0,0,0
44,7,292,0,6,5,-1,0,0,0
44,5,424,0,6,5,-1,0,0,0
39,10,109,0,6,5,-1,0,0,0
46,1,1044,0,6,5,-1,0,0,0
39,1,983,0,6,5,-1,0,0,0
34,4,869,0,6,5,-1,0,1,0
40,1,668,0,6,5,-1,0,0,0
50,2,964,0,6,5,-1,0,0,0
31,2,301,0,6,5,-1,0,0,0
37,4,140,0,6,5,-1,0,0,0
39,2,1877,0,6,5,-1,0,0,0
51,1,1127,0,6,5,-1,0,0,0
41,3,871,0,6,5,-1,0,0,0
41,3,767,1,6,5,-1,0,0,0
43,1,0,0,6,5,-1,0,0,0
30,5,209,0,6,5,-1,0,0,0
54,2,0,0,6,5,-1,0,0,0
43,1,110,1,6,5,-1,0,0,0
59,2,-76,1,6,5,-1,0,0,0
47,3,178,0,6,5,-1,0,0,0
40,1,-66,0,6,5,-1,0,0,0
32,3,0,0,6,5,-1,0,0,0
29,1,1,0,6,5,-1,0,0,0
36,1,0,0,6,5,-1,0,0,0
55,9,5345,0,6,5,-1,0,0,0
30,1,-209,0,6,5,-1,0,0,0
39,4,0,0,6,5,-1,0,0,0
39,1,42,0,6,5,-1,0,0,0
50,1,41,0,6,5,-1,0,0,0
44,1,-99,0,6,5,-1,0,0,0
37,3,17,0,6,5,-1,0,0,0
46,4,276,1,6,5,-1,0,0,0
32,3,-170,0,6,5,-1,0,0,0
37,2,230,1,6,5,-1,0,0,0
29,1,9,0,6,5,-1,0,0,0
41,1,946,0,6,5,-1,0,0,0
45,1,1297,0,6,5,-1,0,0,0
57,6,-331,0,6,5,-1,0,0,0
48,1,44,0,6,5,-1,0,0,0
60,6,15,0,6,5,-1,0,0,1
26,4,712,0,6,5,-1,0,0,0
58,6,5435,0,6,5,-1,0,0,0
34,4,507,0,6,5,-1,0,0,0
55,9,387,0,6,5,-1,0,1,0
41,1,0,1,6,5,-1,0,0,0
50,2,1716,0,6,5,-1,0,0,0
49,8,167,1,6,5,-1,0,0,0
44,4,40,1,6,5,-1,0,0,0
44,1,148,0,6,5,-1,0,0,0
31,3,17,1,6,5,-1,0,0,0
34,1,1011,0,6,5,-1,0,0,0
46,2,1527,0,6,5,-1,0,0,0
42,2,744,0,6,5,-1,0,0,0
52,4,484,0,6,5,-1,0,0,0
29,2,0,0,6,5,-1,0,0,0
53,6,136,0,6,5,-1,0,0,0
43,1,1335,0,6,5,-1,0,0,0
38,2,517,0,6,5,-1,0,0,0
46,2,459,0,6,5,-1,0,0,0
48,2,549,0,6,5,-1,0,0,0
30,4,83,1,6,5,-1,0,0,0
44,1,213,0,6,5,-1,0,0,0
31,10,203,0,6,5,-1,0,0,0
42,5,518,0,6,5,-1,0,0,0
40,2,3877,0,6,5,-1,0,0,0
52,4,1236,0,6,5,-1,0,0,0
45,1,756,0,6,5,-1,0,0,0
48,1,157,0,6,5,-1,0,0,0
45,1,-66,0,6,5,-1,0,0,0
34,1,245,0,6,5,-1,0,0,0
34,1,-144,0,6,5,-1,0,0,0
46,1,71,0,6,5,-1,0,0,0
49,5,505,0,6,5,-1,0,0,0
50,3,249,0,6,5,-1,0,0,0
34,4,0,0,6,5,-1,0,0,0
40,9,11,0,6,5,-1,0,0,0
36,4,639,0,6,5,-1,0,0,0
59,1,124,0,6,5,-1,0,0,0
45,1,82,0,6,5,-1,0,0,0
36,7,107,0,6,5,-1,0,0,0
56,5,473,0,6,5,-1,0,0,0
42,5,372,1,6,5,-1,0,0,0
30,4,46,0,6,5,-1,0,0,0
30,11,34,0,6,5,-1,0,0,0
47,7,935,0,6,5,-1,0,0,0
33,1,-10,0,6,5,-1,0,0,0
36,4,-106,0,6,5,-1,0,0,0
39,5,471,0,6,5,-1,0,0,0
56,4,778,0,6,5,-1,0,0,0
39,1,170,0,6,5,-1,0,0,0
42,3,315,0,6,5,-1,0,0,0
52,1,3165,0,6,5,-1,0,0,0
36,4,131,0,6,5,-1,0,0,0
35,8,204,0,6,5,-1,0,0,1
47,3,83,0,6,5,-1,0,0,0
59,5,0,1,6,5,-1,0,0,0
57,1,5431,1,6,5,-1,0,0,0
38,2,1759,0,6,5,-1,0,0,0
46,9,-125,0,6,5,-1,0,0,0
34,1,0,0,6,5,-1,0,0,0
28,5,5090,0,6,5,-1,0,1,0
38,3,573,0,6,5,-1,0,0,0
56,1,1602,0,6,5,-1,0,0,0
41,1,-137,1,6,5,-1,0,0,1
52,3,0,0,6,5,-1,0,0,0
54,5,193,0,6,5,-1,0,0,0
61,6,195,1,6,5,-1,0,0,0
53,8,288,0,6,5,-1,0,0,0
47,3,19,0,6,5,-1,0,0,0
53,1,25,0,6,5,-1,0,0,0
46,5,216,0,6,5,-1,0,0,0
39,1,190,1,6,5,-1,0,0,0
56,3,99,0,6,5,-1,0,0,0
55,5,2298,0,6,5,-1,0,0,0
44,2,17,0,6,5,-1,0,0,0
37,3,0,0,6,5,-1,0,0,0
35,1,0,0,6,5,-1,0,0,0
55,1,840,0,6,5,-1,0,0,0
37,5,358,0,6,5,-1,0,0,0
30,3,0,0,6,5,-1,0,0,0
37,1,-325,1,6,5,-1,0,0,0
36,3,-15,0,6,5,-1,0,0,0
38,3,581,0,6,5,-1,0,0,0
41,4,4070,0,6,5,-1,0,0,0
48,6,74,1,6,5,-1,0,0,0
55,5,141,0,6,5,-1,0,0,0
28,5,89,0,6,5,-1,0,0,0
54,5,0,0,6,5,-1,0,0,1
30,1,450,0,6,5,-1,0,0,0
48,3,310,0,6,5,-1,0,0,0
31,7,0,0,6,5,-1,0,0,0
38,1,384,0,6,5,-1,0,0,0
37,1,395,0,6,5,-1,0,0,0
37,5,-118,0,6,5,-1,0,0,0
56,1,5,1,6,5,-1,0,0,0
51,1,50,1,6,5,-1,0,0,0
39,1,285,1,6,5,-1,0,0,0
49,3,15,0,6,5,-1,0,0,0
51,1,653,1,6,5,-1,0,0,0
43,7,918,0,6,5,-1,0,0,0
32,5,243,1,6,5,-1,0,0,0
29,3,405,0,6,5,-1,0,0,0
48,2,1328,0,6,5,-1,0,0,0
55,5,255,0,6,5,-1,0,0,0
53,1,3397,0,6,5,-1,0,0,0
47,3,2106,0,6,5,-1,0,0,0
39,2,2877,0,6,5,-1,0,0,0
31,1,60,1,6,5,-1,0,0,0
39,1,2226,0,6,5,-1,0,0,0
40,1,2880,0,6,5,-1,0,0,0
40,3,-5,0,6,5,-1,0,0,0
48,3,147,0,6,5,-1,0,0,0
33,3,7,1,6,5,-1,0,0,0
40,3,109,0,6,5,-1,0,0,0
59,6,-119,0,6,5,-1,0,0,0
30,3,484,0,6,5,-1,0,1,0
31,2,1852,0,6,5,-1,0,0,0
35,9,533,0,6,5,-1,0,0,0
54,3,21,0,6,5,-1,0,0,0
34,4,2434,0,6,5,-1,0,0,0
32,3,90,1,6,5,-1,0,0,0
56,4,4246,0,6,5,-1,0,0,0
32,4,395,0,6,5,-1,0,0,0
42,1,15,0,6,5,-1,0,0,0
33,5,85,0,6,5,-1,0,0,0
52,8,-184,1,6,5,-1,0,0,0
52,5,660,0,6,5,-1,0,0,0
52,1,-183,0,6,5,-1,0,0,1
30,9,1144,0,6,5,-1,0,0,0
44,5,1,0,6,5,-1,0,0,0
35,4,69,1,6,5,-1,0,0,0
55,2,220,0,6,5,-1,0,0,0
33,1,332,0,6,5,-1,0,0,0
37,1,240,0,6,5,-1,0,0,0
42,3,0,0,6,5,-1,0,0,0
43,9,0,0,6,5,-1,0,0,0
38,8,898,0,6,5,-1,0,0,0
37,3,123,1,6,5,-1,0,0,0
31,11,252,0,6,5,-1,0,0,0
41,2,65,0,6,5,-1,0,0,0
41,3,-366,1,6,5,-1,0,0,0
29,11,209,0,6,5,-1,0,0,0
38,4,221,0,6,5,-1,0,0,0
44,7,4,0,6,5,-1,0,0,0
39,4,104,0,6,5,-1,0,0,0
28,3,312,0,6,5,-1,0,0,0
33,1,-349,0,6,5,-1,0,0,0
